Q45,Q46,Q57,Q184,Q218,Q254,source,tsne_x,tsne_y,tsne_x_3d,tsne_y_3d,tsne_z_3d
2.0,2.0,1.0,5.0,3.0,1.0,Survey,-31.201532,-22.854591,-11.260849,-3.3843026,9.091116
3.0,3.0,2.0,10.0,1.0,1.0,Survey,60.415154,-0.22414169,17.516222,2.4317968,-5.443666
1.0,2.0,1.0,10.0,1.0,2.0,Survey,51.033947,22.605688,18.613605,9.440789,7.624993
2.0,1.0,1.0,2.0,1.0,1.0,Survey,-66.53337,-0.2729215,-23.563538,-1.5190387,-2.2644353
1.0,2.0,1.0,6.0,2.0,1.0,Survey,-17.923254,-39.270855,-6.0108294,-15.948901,0.9660315
3.0,2.0,1.0,10.0,1.0,2.0,Survey,37.30716,52.716496,12.550439,10.3576975,-9.419854
3.0,2.0,1.0,7.0,1.0,2.0,Survey,-5.3647313,24.87759,1.0387841,1.3691975,-6.936358
1.0,2.0,2.0,7.0,3.0,1.0,Survey,2.3008342,-23.674726,0.4451294,-3.8931167,9.619665
2.0,2.0,1.0,5.0,1.0,2.0,Survey,-30.747944,17.412146,-11.020903,4.4570603,-3.2064419
2.0,3.0,1.0,10.0,3.0,4.0,Survey,35.401405,11.161128,11.444558,6.959854,2.2893505
1.0,2.0,1.0,10.0,3.0,1.0,Survey,43.8874,-9.621667,14.423459,-2.8216662,7.9236445
1.0,2.0,2.0,8.0,2.0,2.0,Survey,14.975758,12.301021,5.7990437,5.13775,9.412561
2.0,2.0,1.0,7.0,1.0,1.0,Survey,-1.996391,-46.126797,-1.3057162,-12.451424,-10.554782
2.0,3.0,2.0,10.0,1.0,2.0,Survey,44.60573,40.461784,18.691439,8.050567,-2.45768
1.0,2.0,2.0,8.0,2.0,2.0,Survey,14.975853,12.3010435,5.7991147,5.1377106,9.412545
2.0,2.0,2.0,8.0,2.0,1.0,Survey,17.30853,-16.744642,5.4022355,-4.975299,1.2067957
2.0,2.0,1.0,10.0,1.0,2.0,Survey,58.682175,23.699526,22.47264,9.013243,4.027974
2.0,2.0,1.0,6.0,1.0,2.0,Survey,-20.524618,17.920069,-6.668561,3.8893223,-4.752583
1.0,1.0,2.0,10.0,1.0,5.0,Survey,25.317118,47.97451,11.188194,15.847881,-1.0261874
2.0,1.0,1.0,10.0,1.0,1.0,Survey,64.32785,-20.848585,19.622631,-10.642153,-3.663536
2.0,3.0,1.0,9.0,1.0,1.0,Survey,45.52506,-25.879126,14.320708,-1.2827598,-15.368058
2.0,1.0,2.0,10.0,1.0,2.0,Survey,49.01363,32.122856,20.93022,15.116807,1.5962286
1.0,2.0,1.0,5.0,1.0,2.0,Survey,-35.5451,14.502363,-11.840964,1.3474836,-7.182535
1.0,1.0,2.0,5.0,3.0,1.0,Survey,-32.66021,-31.961895,-7.035892,-5.7678094,12.326515
3.0,1.0,1.0,9.0,1.0,1.0,Survey,33.881447,-32.088806,14.086928,-7.589684,-5.954416
3.0,4.0,2.0,10.0,1.0,3.0,Survey,39.183933,45.291546,15.321982,8.588618,-3.787871
2.0,2.0,1.0,8.0,1.0,1.0,Survey,7.7575326,-55.129745,6.5014315,-13.691993,-14.253415
3.0,2.0,1.0,9.0,1.0,5.0,Survey,26.62661,45.54982,10.707552,13.119077,-1.3836458
2.0,2.0,2.0,5.0,1.0,1.0,Survey,-37.428596,-11.788772,-14.241182,-6.8523636,-11.167807
2.0,2.0,2.0,5.0,3.0,3.0,Survey,-27.21851,8.394352,-9.038032,6.1627765,4.958687
