country_name,country_code
AUS,900
ARG,160
ROU,360
SGP,830
USA,2
BRA,140
GBR,201
AND,232
NIR,202
CHL,155
NLD,210
IRN,630
KOR,732
UKR,369
CZE,316
URY,165
MYS,820
TWN,713
SRB,348
KEN,501
JPN,740
NZL,920
GRC,350
ECU,130
CAN,20
DEU,255
